"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs11542663-<b>A</b>,"2 x 10-13",,0.6947,'-,"0.0112 unit increase",[0.0083-0.0141],"ASF1A, MCM9","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:118894238
rs9388490-<b>T</b>,"1 x 10-10",,0.4437,'-,"0.0091 unit increase",[0.0064-0.0118],"MIR588, CENPW","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:126383649
rs17205908-<b>T</b>,"8 x 10-10",,0.3311,'-,"0.0092 unit decrease",[0.0063-0.0121],KIAA0408,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:127443160
rs13197257-<b>T</b>,"3 x 10-12",,0.279,'-,"0.0109 unit increase",[0.0078-0.014],PTPRK,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:128012537
rs9492774-<b>C</b>,"4 x 10-8",,0.3692,'-,"0.008 unit increase",[0.0051-0.0109],EPB41L2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:130981349
rs9373363-<b>A</b>,"6 x 10-12",,0.7485,'-,"0.0111 unit decrease",[0.008-0.0142],HIVEP2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:142828906
rs4895650-<b>T</b>,"5 x 10-11",,0.5472,'-,"0.0093 unit increase",[0.0066-0.012],UTRN,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:144702986
rs6917204-<b>T</b>,"8 x 10-12",,0.7951,'-,"0.0119 unit increase",[0.0086-0.0152],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:144963580
rs9386110-<b>T</b>,"6 x 10-13",,0.8917,'-,"0.0163 unit decrease",[0.012-0.021],"EPM2A, UTRN","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:145305072
rs34286836-<b>T</b>,"3 x 10-10",,0.4479,'-,"0.0089 unit decrease",[0.0062-0.0116],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:147952528
rs11155813-<b>T</b>,"2 x 10-8",,0.8937,'-,"0.0129 unit decrease",[0.0084-0.0174],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,"Mapping not available"
rs6557171-<b>T</b>,"5 x 10-25",,0.3232,'-,"0.0155 unit decrease",[0.013-0.018],ESR1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:151913458
rs1933264-<b>T</b>,"6 x 10-10",,0.7491,'-,"0.01 unit increase",[0.0069-0.0131],RGS17,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:153070483
rs9371883-<b>C</b>,"3 x 10-9",,0.643,'-,"0.0087 unit decrease",[0.0058-0.0116],"TFB1M, NOX3","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:155323844
rs113588399-<b>T</b>,"2 x 10-9",,0.2079,'-,"0.0104 unit decrease",[0.0071-0.0137],ARID1B,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:156915292
rs2023016-<b>C</b>,"5 x 10-10",,0.7899,'-,"0.0107 unit increase",[0.0074-0.014],PRKN,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:162560234
rs6917154-<b>T</b>,"3 x 10-9",,0.1236,'-,"0.0127 unit increase",[0.0086-0.0168],RPS6KA2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:166721668
rs6924023-<b>A</b>,"5 x 10-11",,0.7548,'-,"0.0107 unit increase",[0.0076-0.0138],WDR27,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,6:169675945
rs4719460-<b>T</b>,"2 x 10-9",,0.656,'-,"0.0088 unit decrease",[0.0059-0.0117],SUN1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:819973
rs11772232-<b>T</b>,"1 x 10-20",,0.1691,'-,"0.0177 unit increase",[0.014-0.021],MAD1L1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:1816637
rs10264573-<b>A</b>,"4 x 10-8",,0.9446,'-,"0.0175 unit increase",[0.011-0.024],MAD1L1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:1904955
rs56085180-<b>A</b>,"6 x 10-13",,0.0366,'-,"0.0269 unit decrease",[0.02-0.034],MAD1L1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:2103959
rs1637770-<b>T</b>,"7 x 10-12",,0.0683,'-,"0.0191 unit increase",[0.014-0.025],MAD1L1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:2150750
rs13240401-<b>T</b>,"2 x 10-24",,0.7812,'-,"0.0176 unit increase",[0.014-0.021],MAD1L1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:2154761
rs58921703-<b>T</b>,"8 x 10-14",,0.3698,'-,"0.0109 unit increase",[0.008-0.0138],SNX8,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:2283308
rs17133297-<b>A</b>,"2 x 10-10",,0.8958,'-,"0.0146 unit decrease",[0.01-0.019],SDK1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:3415769
rs4719944-<b>T</b>,"9 x 10-18",,0.5462,'-,"0.0121 unit decrease",[0.0094-0.0148],SDK1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:3456400
rs35745455-<b>A</b>,"1 x 10-8",,0.501,'-,"0.008 unit increase",[0.0053-0.0107],"ZNF815P, RNF216","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:5784469
rs6946362-<b>T</b>,"2 x 10-9",,0.6884,'-,"0.0091 unit increase",[0.0062-0.012],GRID2IP,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:6535176
rs929511-<b>T</b>,"4 x 10-14",,0.1254,'-,"0.016 unit decrease",[0.012-0.02],"GLCCI1-DT, UMAD1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:7963386
rs17568389-<b>A</b>,"2 x 10-19",,0.5087,'-,"0.0127 unit increase",[0.01-0.0154],GLCCI1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:8052246
rs118134876-<b>T</b>,"2 x 10-13",,0.0578,'-,"0.0223 unit decrease",[0.016-0.028],THSD7A,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:11460745
rs12234369-<b>A</b>,"1 x 10-8",,0.3142,'-,"0.0087 unit increase",[0.0058-0.0116],THSD7A,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:11853649
rs6977237-<b>T</b>,"6 x 10-9",,0.4725,'-,"0.0082 unit increase",[0.0055-0.0109],ETV1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:13988366
rs6461536-<b>A</b>,"1 x 10-8",,0.7118,'-,"0.0088 unit increase",[0.0059-0.0117],LINC01162,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:21092188
rs35929923-<b>A</b>,"2 x 10-12",,0.2495,'-,"0.0114 unit decrease",[0.0083-0.0145],"RNU1-15P, ASS1P11","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:21360907
rs10499535-<b>A</b>,"1 x 10-8",,0.5013,'-,"0.008 unit increase",[0.0053-0.0107],DNAH11,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:21650988
rs2529069-<b>T</b>,"3 x 10-11",,0.7343,'-,"0.0106 unit decrease",[0.0075-0.0137],"FAM86LP, RNU6-1103P","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:24531419
rs79265434-<b>A</b>,"2 x 10-19",,0.8834,'-,"0.0197 unit decrease",[0.015-0.024],MPP6,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:24581762
rs9771228-<b>T</b>,"6 x 10-11",,0.6491,'-,"0.0096 unit increase",[0.0067-0.0125],PDE1C,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:32282884
rs11765387-<b>T</b>,"9 x 10-9",,0.6734,'-,"0.0086 unit increase",[0.0057-0.0115],"SLC25A5P5, PDE1C","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:32455178
rs17170519-<b>C</b>,"2 x 10-8",,0.8991,'-,"0.0132 unit increase",[0.0087-0.0177],DPY19L1P2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:32821618
rs10951590-<b>T</b>,"4 x 10-13",,0.3275,'-,"0.0109 unit decrease",[0.008-0.0138],POU6F2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:39051443
rs113205706-<b>A</b>,"2 x 10-8",,0.0944,'-,"0.0135 unit decrease",[0.0088-0.0182],POU6F2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:39207388
rs13246220-<b>T</b>,"9 x 10-11",,0.6117,'-,"0.0093 unit decrease",[0.0066-0.012],POU6F2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:39284654
rs7796103-<b>C</b>,"4 x 10-8",,0.5168,'-,"0.0077 unit decrease",[0.005-0.0104],INHBA-AS1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:41780557
rs4724083-<b>T</b>,"4 x 10-8",,0.3227,'-,"0.0083 unit increase",[0.0054-0.0112],GLI3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:41967473
rs28505285-<b>C</b>,"4 x 10-9",,0.1884,'-,"0.0106 unit increase",[0.0071-0.0141],"NUDCD3, CAMK2B","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:44338055
rs3735478-<b>T</b>,"4 x 10-12",,0.2932,'-,"0.0108 unit increase",[0.0077-0.0139],ZMIZ2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:44760577
rs12670376-<b>A</b>,"6 x 10-11",,0.4464,'-,"0.0092 unit increase",[0.0065-0.0119],LINC02838,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:48783558
rs17551064-<b>A</b>,"2 x 10-13",,0.8378,'-,"0.0141 unit increase",[0.01-0.018],VWC2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:49830175
rs2299156-<b>T</b>,"3 x 10-8",,0.189,'-,"0.0099 unit increase",[0.0064-0.0134],GRB10,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:50696707
rs58950082-<b>T</b>,"5 x 10-8",,0.7867,'-,"0.0095 unit increase",[0.0062-0.0128],LINC01446,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:53790128
rs1220779-<b>A</b>,"2 x 10-8",,0.4679,'-,"0.0079 unit decrease",[0.0052-0.0106],"SEC61G, RPL31P35","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:54666980
rs78702390-<b>C</b>,"2 x 10-8",,0.0583,'-,"0.0167 unit increase",[0.011-0.023],RNU6-832P,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:69153783
rs7803932-<b>A</b>,"2 x 10-11",,0.1667,'-,"0.0127 unit increase",[0.009-0.0164],AUTS2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:70738687
rs78193153-<b>A</b>,"3 x 10-11",,0.0647,'-,"0.0191 unit increase",[0.013-0.025],CALN1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:72255696
rs35417702-<b>T</b>,"2 x 10-27",,0.5235,'-,"0.0152 unit decrease",[0.012-0.018],CALN1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:72274931
rs2718277-<b>T</b>,"3 x 10-8",,0.0832,'-,"0.0142 unit increase",[0.0091-0.0193],GTF2I,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:74719610
rs1167827-<b>A</b>,"3 x 10-13",,0.4347,'-,"0.0104 unit increase",[0.0077-0.0131],HIP1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:75533848
rs60717745-<b>C</b>,"1 x 10-9",,0.844,'-,"0.0118 unit decrease",[0.0081-0.0155],SRRM3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:76216765
rs2373124-<b>A</b>,"4 x 10-9",,0.7604,'-,"0.0096 unit decrease",[0.0065-0.0127],SOCS5P1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:86200956
rs1405876-<b>T</b>,"8 x 10-14",,0.6403,'-,"0.0109 unit increase",[0.008-0.0138],GRM3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:86608265
rs10215082-<b>A</b>,"7 x 10-26",,0.4661,'-,"0.0149 unit decrease",[0.012-0.018],"SAMD9, RN7SL7P","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:93028671
rs6951996-<b>A</b>,"1 x 10-8",,0.0522,'-,"0.0182 unit decrease",[0.012-0.024],"DLX6-AS1, DLX5","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:97017125
rs6956283-<b>T</b>,"6 x 10-10",,0.7342,'-,"0.0098 unit increase",[0.0067-0.0129],"KPNA7, SMURF1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:99158974
rs8192465-<b>A</b>,"3 x 10-8",,0.0218,'-,"0.0272 unit decrease",[0.018-0.037],AZGP1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:99968384
rs2406253-<b>A</b>,"4 x 10-14",,0.8053,'-,"0.0135 unit increase",[0.01-0.017],"TSC22D4, NYAP1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:100479650
rs401966-<b>C</b>,"2 x 10-11",,0.39,'-,"0.0097 unit decrease",[0.007-0.0124],CUX1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:102052537
rs201495-<b>T</b>,"6 x 10-9",,0.559,'-,"0.0112 unit decrease",[0.0075-0.0149],CUX1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:102112242
rs4730020-<b>T</b>,"1 x 10-8",,0.2697,'-,"0.009 unit increase",[0.0059-0.0121],LHFPL3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:104548635
rs2470966-<b>C</b>,"2 x 10-11",,0.6998,'-,"0.0103 unit decrease",[0.0074-0.0132],"LHFPL3-AS1, LHFPL3","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:104790442
rs1075228-<b>A</b>,"2 x 10-8",,0.4257,'-,"0.0081 unit decrease",[0.0054-0.0108],LHFPL3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:104880081
rs9655780-<b>A</b>,"4 x 10-16",,0.8287,'-,"0.0153 unit decrease",[0.012-0.019],KMT2E,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:105026887
rs567003-<b>A</b>,"2 x 10-10",,0.3538,'-,"0.0094 unit increase",[0.0065-0.0123],ATXN7L1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:105701161
rs10480450-<b>A</b>,"2 x 10-8",,0.9341,'-,"0.0158 unit increase",[0.01-0.021],DNAJB9,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:108643162
rs139244147-<b>A</b>,"8 x 10-11",,0.0604,'-,"0.0193 unit decrease",[0.013-0.025],ZNF277,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:112272683
rs12113634-<b>T</b>,"3 x 10-9",,0.6504,'-,"0.0088 unit increase",[0.0059-0.0117],"ZNF277, MTND5P8","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:112356897
rs117668569-<b>T</b>,"3 x 10-8",,0.9718,'-,"0.0234 unit increase",[0.015-0.032],SMIM30,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:113176044
rs2100249-<b>T</b>,"2 x 10-9",,0.3488,'-,"0.0089 unit decrease",[0.006-0.0118],FOXP2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:114208442
rs113615161-<b>T</b>,"3 x 10-9",,0.133,'-,"0.0123 unit decrease",[0.0082-0.0164],MDFIC,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:114879284
rs6969783-<b>A</b>,"3 x 10-12",,0.4705,'-,"0.0098 unit decrease",[0.0071-0.0125],CTTNBP2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:117953254
rs17144467-<b>A</b>,"9 x 10-11",,0.6867,'-,"0.0098 unit increase",[0.0069-0.0127],CADPS2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:122458728
rs2283076-<b>A</b>,"1 x 10-11",,0.7786,'-,"0.0115 unit increase",[0.0082-0.0148],GRM8,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:126838136
rs61755388-<b>T</b>,"4 x 10-13",,0.7878,'-,"0.0125 unit increase",[0.0092-0.0158],GRM8,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:126901263
rs77999825-<b>A</b>,"5 x 10-14",,0.0343,'-,"0.0294 unit increase",[0.022-0.037],SND1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:127932924
rs322744-<b>T</b>,"2 x 10-8",,0.2609,'-,"0.009 unit decrease",[0.0059-0.0121],"SND1, MIR129-1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:128140349
rs4731413-<b>A</b>,"2 x 10-10",,0.2058,'-,"0.0111 unit increase",[0.0078-0.0144],"SND1, MIR129-1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:128196079
rs339057-<b>A</b>,"1 x 10-8",,0.4185,'-,"0.0081 unit decrease",[0.0054-0.0108],"FAM71F1, CALU","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:128736846
rs113520408-<b>A</b>,"1 x 10-22",,0.2756,'-,"0.0155 unit increase",[0.012-0.019],CALU,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:128762728
rs7799141-<b>A</b>,"5 x 10-11",,0.3104,'-,"0.0099 unit increase",[0.007-0.0128],CHCHD3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:132975729
rs57352738-<b>A</b>,"3 x 10-18",,0.204,'-,"0.0152 unit decrease",[0.012-0.019],EXOC4,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:133619940
rs3812281-<b>T</b>,"3 x 10-15",,0.6016,'-,"0.0113 unit increase",[0.0086-0.014],CNOT4,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:135397999
rs6946136-<b>A</b>,"2 x 10-8",,0.6116,'-,"0.0081 unit increase",[0.0054-0.0108],FAM180A,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:135738676
rs10251438-<b>A</b>,"3 x 10-8",,0.4955,'-,"0.0078 unit increase",[0.0051-0.0105],PTN,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:137322222
rs728054-<b>A</b>,"2 x 10-18",,0.3561,'-,"0.0128 unit decrease",[0.0099-0.0157],DGKI,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:137387618
rs4726070-<b>A</b>,"1 x 10-17",,0.6021,'-,"0.0122 unit increase",[0.0095-0.0149],PRKAG2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:151631132
rs75434274-<b>A</b>,"9 x 10-9",,0.9205,'-,"0.0151 unit increase",[0.01-0.02],"CNPY1, RBM33","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,7:155632193
rs73191311-<b>A</b>,"2 x 10-10",,0.3363,'-,"0.0094 unit decrease",[0.0065-0.0123],CSMD1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:4938572
rs7016302-<b>C</b>,"2 x 10-11",,0.8308,'-,"0.0125 unit decrease",[0.0088-0.0162],CSMD1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:4975519
rs6994287-<b>A</b>,"1 x 10-12",,0.4055,'-,"0.0102 unit increase",[0.0075-0.0129],TNKS,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:9483422
rs59480703-<b>C</b>,"4 x 10-12",,0.1936,'-,"0.0123 unit decrease",[0.0088-0.0158],TNKS,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:9795620
rs76552497-<b>T</b>,"1 x 10-10",,0.1704,'-,"0.012 unit decrease",[0.0083-0.0157],"TRMT9B, LINC00681","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:12822171
rs2517086-<b>C</b>,"8 x 10-10",,0.5721,'-,"0.0088 unit decrease",[0.0061-0.0115],ZDHHC2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:17184907
rs13266287-<b>A</b>,"2 x 10-8",,0.6687,'-,"0.0085 unit decrease",[0.0056-0.0114],PCM1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:18014089
rs7816777-<b>T</b>,"2 x 10-9",,0.3526,'-,"0.0088 unit decrease",[0.0059-0.0117],CSGALNACT1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:19514256
rs4739235-<b>A</b>,"5 x 10-9",,0.1701,'-,"0.0109 unit increase",[0.0072-0.0146],"LINC02153, GFRA2","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:21429594
rs73219806-<b>A</b>,"2 x 10-8",,0.1683,'-,"0.0106 unit increase",[0.0069-0.0143],BNIP3L,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:26421657
rs34807077-<b>A</b>,"3 x 10-11",,0.1569,'-,"0.0128 unit increase",[0.0091-0.0165],INTS9,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:28823252
rs2725370-<b>T</b>,"5 x 10-20",,0.3017,'-,"0.0141 unit decrease",[0.011-0.017],"TEX15, PURG","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:30995310
rs62506074-<b>T</b>,"9 x 10-10",,0.343,'-,"0.0091 unit increase",[0.0062-0.012],WRN,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:31048573
rs62506104-<b>A</b>,"4 x 10-8",,0.1923,'-,"0.0098 unit decrease",[0.0063-0.0133],WRN,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:31162492
rs763553-<b>A</b>,"6 x 10-10",,0.4452,'-,"0.0087 unit increase",[0.006-0.0114],RNA5SP261,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:31587980
rs2980813-<b>A</b>,"4 x 10-10",,0.4692,'-,"0.0088 unit increase",[0.0061-0.0115],"SIRLNT, TCIM","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:40192491
rs7823700-<b>T</b>,"4 x 10-8",,0.0987,'-,"0.0132 unit increase",[0.0085-0.0179],SLC20A2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:42505713
rs2923424-<b>A</b>,"6 x 10-17",,0.6069,'-,"0.012 unit increase",[0.0093-0.0147],SLC20A2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:42527081
rs2929032-<b>A</b>,"8 x 10-9",,0.4654,'-,"0.0081 unit decrease",[0.0054-0.0108],XKR4,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:55459185
rs1866823-<b>A</b>,"3 x 10-14",,0.5444,'-,"0.0107 unit increase",[0.008-0.0134],"LINC00968, PENK-AS1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:56524018
rs6472208-<b>T</b>,"2 x 10-10",,0.4033,'-,"0.0091 unit decrease",[0.0064-0.0118],LINC01299,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:65562495
rs2926702-<b>T</b>,"5 x 10-9",,0.8739,'-,"0.0124 unit decrease",[0.0083-0.0165],NCOA2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:70255759
rs56099375-<b>T</b>,"3 x 10-13",,0.241,'-,"0.012 unit increase",[0.0087-0.0153],LINC01111,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:76460753
rs80037907-<b>T</b>,"2 x 10-8",,0.1589,'-,"0.0107 unit decrease",[0.007-0.0144],"ATP6V0D2, SLC7A13","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:86158684
rs17680712-<b>T</b>,"9 x 10-11",,0.4369,'-,"0.0092 unit decrease",[0.0065-0.0119],SLC7A13,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:86288546
rs4320563-<b>A</b>,"2 x 10-14",,0.5093,'-,"0.0109 unit increase",[0.0082-0.0136],"CNGB3, MIR30B","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:86757733
rs2740795-<b>A</b>,"8 x 10-10",,0.7377,'-,"0.0098 unit increase",[0.0067-0.0129],NECAB1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:90915227
rs1905616-<b>A</b>,"3 x 10-8",,0.327,'-,"0.0083 unit increase",[0.0054-0.0112],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:92223447
rs35606437-<b>A</b>,"4 x 10-11",,0.2675,'-,"0.0105 unit increase",[0.0074-0.0136],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:92315304
rs4735297-<b>A</b>,"2 x 10-8",,0.6741,'-,"0.0086 unit decrease",[0.0057-0.0115],"VIRMA, LINC02894","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:94577112
rs1693584-<b>T</b>,"9 x 10-9",,0.6856,'-,"0.0087 unit decrease",[0.0058-0.0116],"RNU6ATAC41P, PABPC1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:100736689
rs7012546-<b>T</b>,"1 x 10-10",,0.4166,'-,"0.0092 unit increase",[0.0065-0.0119],RIMS2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:104055509
rs72672052-<b>A</b>,"5 x 10-8",,0.1753,'-,"0.0101 unit decrease",[0.0066-0.0136],CARS1P2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,8:114786195
rs214626-<b>A</b>,"2 x 10-8",,0.1894,'-,"0.0101 unit increase",[0.0066-0.0136],AK8,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,9:132843197
rs73581580-<b>A</b>,"6 x 10-16",,0.1248,'-,"0.0181 unit decrease",[0.014-0.022],EXD3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,9:137357006
rs4881269-<b>A</b>,"4 x 10-12",,0.3818,'-,"0.01 unit increase",[0.0073-0.0127],"MIR6078, LINC02660","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,10:3989327
rs7894722-<b>T</b>,"5 x 10-9",,0.3748,'-,"0.0085 unit increase",[0.0058-0.0112],LINC02663,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,10:9930083
rs17148998-<b>A</b>,"7 x 10-9",,0.2042,'-,"0.0101 unit increase",[0.0068-0.0134],CELF2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,10:10867438
rs10795831-<b>T</b>,"7 x 10-9",,0.212,'-,"0.0099 unit decrease",[0.0066-0.0132],CELF2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,10:10901416
rs1747714-<b>T</b>,"4 x 10-14",,0.5287,'-,"0.0106 unit increase",[0.0079-0.0133],CELF2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,10:11119353
rs10752262-<b>T</b>,"1 x 10-12",,0.4192,'-,"0.0102 unit increase",[0.0075-0.0129],CAMK1D,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,10:12353101
rs7905192-<b>T</b>,"3 x 10-9",,0.572,'-,"0.0084 unit increase",[0.0057-0.0111],CAMK1D,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,10:12669950
rs2183271-<b>T</b>,"2 x 10-8",,0.6364,'-,"0.0084 unit increase",[0.0055-0.0113],MLLT10,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,10:21668300
