"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs7889117-<b>C</b>,"3 x 10-6",,0.738,0.96744,'-,[0.95-0.98],NLGN4X,Schizophrenia,schizophrenia,'-,GCST90128471,X:6144304
rs76611879-<b>C</b>,"3 x 10-6",,0.935,1.07251,'-,[1.04-1.1],"LINC01288, RPL10AP3",Schizophrenia,schizophrenia,'-,GCST90128471,8:34520026
rs707078-<b>G</b>,"3 x 10-6",,0.919,1.07369,'-,[1.04-1.1],GALNT13,Schizophrenia,schizophrenia,'-,GCST90128471,2:154449591
rs139004426-<b>C</b>,"2 x 10-6",,0.886,0.94045,'-,[0.92-0.97],"RNU6-133P, CNKSR2",Schizophrenia,schizophrenia,'-,GCST90128471,X:21318811
rs35502362-<b>C</b>,"2 x 10-6",,0.727,1.04196,'-,[1.03-1.06],"UHRF1, KDM4B",Schizophrenia,schizophrenia,'-,GCST90128471,19:4966030
rs12465451-<b>T</b>,"2 x 10-6",,0.864,0.95094,'-,[0.93-0.97],"LNPK, EVX2",Schizophrenia,schizophrenia,'-,GCST90128471,2:176028801
rs74590990-<b>C</b>,"2 x 10-6",,0.968,0.88763,'-,[0.84-0.94],CYTH3,Schizophrenia,schizophrenia,'-,GCST90128471,7:6194294
rs79259362-<b>A</b>,"2 x 10-6",,0.84,0.94573,'-,[0.92-0.97],B9D1,Schizophrenia,schizophrenia,'-,GCST90128471,17:19376976
rs140428309-<b>A</b>,"2 x 10-6",,0.981,0.86079,'-,[0.8-0.92],"YWHAQP9, RNU6-725P",Schizophrenia,schizophrenia,'-,GCST90128471,1:238122963
rs11589697-<b>G</b>,"2 x 10-6",,0.254,0.95123,'-,[0.93-0.97],"EFCAB14P1, SFPQ",Schizophrenia,schizophrenia,'-,GCST90128471,1:35164697
rs137881681-<b>G</b>,"2 x 10-6",,0.982,1.19292,'-,[1.12-1.27],"TMEM243, TP53TG1",Schizophrenia,schizophrenia,'-,GCST90128471,7:87227330
rs9456970-<b>A</b>,"2 x 10-6",,0.968,1.12637,'-,[1.08-1.18],"RN7SL366P, C6orf118",Schizophrenia,schizophrenia,'-,GCST90128471,6:164515083
rs62520575-<b>G</b>,"2 x 10-6",,0.831,1.0539,'-,[1.03-1.08],"LINC01609, LINC02237",Schizophrenia,schizophrenia,'-,GCST90128471,8:111278502
rs2059696-<b>A</b>,"2 x 10-6",,0.715,1.04008,'-,[1.02-1.06],"LY75-CD302, LY75",Schizophrenia,schizophrenia,'-,GCST90128471,2:159817015
rs117910685-<b>A</b>,"2 x 10-6",,0.982,0.862,'-,[0.8-0.92],SDK1,Schizophrenia,schizophrenia,'-,GCST90128471,7:4188537
rs723305-<b>G</b>,"2 x 10-6",,0.739,0.96108,'-,[0.94-0.98],MYOSLID,Schizophrenia,schizophrenia,'-,GCST90128471,2:207208693
rs11577684-<b>C</b>,"2 x 10-6",,0.703,1.03863,'-,[1.02-1.05],ST3GAL3,Schizophrenia,schizophrenia,'-,GCST90128471,1:43788609
rs6838474-<b>C</b>,"2 x 10-6",,0.061,0.92811,'-,[0.9-0.96],"DHX15, PPARGC1A",Schizophrenia,schizophrenia,'-,GCST90128471,4:24269460
rs6037811-<b>G</b>,"2 x 10-6",,0.407,0.96416,'-,[0.95-0.98],"ADRA1D, RPS4XP2",Schizophrenia,schizophrenia,'-,GCST90128471,20:4307324
rs76243117-<b>A</b>,"2 x 10-6",,0.901,0.94035,'-,[0.92-0.97],"EIF3IP1, BUB3P1",Schizophrenia,schizophrenia,'-,GCST90128471,7:109342737
rs808559-<b>G</b>,"2 x 10-6",,0.699,1.03396,'-,[1.02-1.05],DMD,Schizophrenia,schizophrenia,'-,GCST90128471,X:32585960
rs11780173-<b>T</b>,"2 x 10-6",,0.597,1.03614,'-,[1.02-1.05],"FAM110B, UBXN2B",Schizophrenia,schizophrenia,'-,GCST90128471,8:58407520
rs4942562-<b>G</b>,"2 x 10-6",,0.312,1.03759,'-,[1.02-1.05],LRCH1,Schizophrenia,schizophrenia,'-,GCST90128471,13:46636575
rs9554348-<b>T</b>,"2 x 10-6",,0.857,1.05243,'-,[1.03-1.07],HS6ST3,Schizophrenia,schizophrenia,'-,GCST90128471,13:96360101
rs6065926-<b>A</b>,"2 x 10-6",,0.197,1.04571,'-,[1.03-1.06],"RPL13P2, CD40",Schizophrenia,schizophrenia,'-,GCST90128471,20:46107215
rs7127399-<b>G</b>,"2 x 10-6",,0.639,1.03811,'-,[1.02-1.05],"OR8Q1P, OR8A1",Schizophrenia,schizophrenia,'-,GCST90128471,11:124591378
rs4876320-<b>G</b>,"2 x 10-6",,0.583,1.03614,'-,[1.02-1.05],"CARS1P2, Y_RNA",Schizophrenia,schizophrenia,'-,GCST90128471,8:113966638
rs1387823-<b>T</b>,"2 x 10-6",,0.257,0.96146,'-,[0.95-0.98],ZNF385D,Schizophrenia,schizophrenia,'-,GCST90128471,3:21645049
rs1545881-<b>G</b>,"1 x 10-6",,0.45,1.03655,'-,[1.02-1.05],"ZFHX4, MIR3149",Schizophrenia,schizophrenia,'-,GCST90128471,8:76908314
rs6030225-<b>G</b>,"1 x 10-6",,0.51,1.03603,'-,[1.02-1.05],PTPRT,Schizophrenia,schizophrenia,'-,GCST90128471,20:42428631
rs72805557-<b>C</b>,"2 x 10-6",,0.958,0.91962,'-,[0.89-0.95],"RN7SL18P, RN7SL51P",Schizophrenia,schizophrenia,'-,GCST90128471,2:62450305
rs55741542-<b>T</b>,"2 x 10-6",,0.985,0.84409,'-,[0.77-0.91],"IL21, IL2",Schizophrenia,schizophrenia,'-,GCST90128471,4:122467361
rs35281738-<b>G</b>,"2 x 10-6",,0.464,1.03884,'-,[1.02-1.05],"SH3RF1, CBR4-DT",Schizophrenia,schizophrenia,'-,GCST90128471,4:169078588
rs77171471-<b>C</b>,"2 x 10-6",,0.987,0.81058,'-,[0.72-0.9],"STIP1, MACROD1",Schizophrenia,schizophrenia,'-,GCST90128471,11:64183764
rs4099980-<b>T</b>,"2 x 10-6",,0.808,0.95313,'-,[0.93-0.97],"LINC01539, TXNL1",Schizophrenia,schizophrenia,'-,GCST90128471,18:56163820
rs10800632-<b>A</b>,"2 x 10-6",,0.516,1.03645,'-,[1.02-1.05],"RNU6-778P, LINC02789",Schizophrenia,schizophrenia,'-,GCST90128471,1:199467010
rs60712207-<b>C</b>,"2 x 10-6",,0.684,1.03935,'-,[1.02-1.06],"PCDHGB1, PCDHGB3, PCDHGA5, PCDHGA2, PCDHGB2, PCDHGA4, PCDHGA6, PCDHGA3, PCDHGA1",Schizophrenia,schizophrenia,'-,GCST90128471,5:141378509
rs686786-<b>T</b>,"2 x 10-6",,0.443,0.96483,'-,[0.95-0.98],PGM3,Schizophrenia,schizophrenia,'-,GCST90128471,6:83180923
rs78936840-<b>C</b>,"2 x 10-6",,0.978,0.87345,'-,[0.82-0.93],C10orf67,Schizophrenia,schizophrenia,'-,GCST90128471,10:23338134
rs8180371-<b>C</b>,"2 x 10-6",,0.957,0.91393,'-,[0.88-0.95],MALINC1,Schizophrenia,schizophrenia,'-,GCST90128471,5:140084777
rs28806860-<b>A</b>,"2 x 10-6",,0.778,0.95743,'-,[0.94-0.98],"AP4S1, HECTD1",Schizophrenia,schizophrenia,'-,GCST90128471,14:31125022
rs12920022-<b>T</b>,"2 x 10-6",,0.851,0.95113,'-,[0.93-0.97],SPG7,Schizophrenia,schizophrenia,'-,GCST90128471,16:89497647
rs13416544-<b>G</b>,"2 x 10-6",,0.504,1.03593,'-,[1.02-1.05],"RN7SL18P, TMEM17",Schizophrenia,schizophrenia,'-,GCST90128471,2:62494761
rs72924301-<b>A</b>,"2 x 10-6",,0.916,1.07111,'-,[1.04-1.1],"RNU7-147P, PLCL1",Schizophrenia,schizophrenia,'-,GCST90128471,2:198683314
rs11166520-<b>A</b>,"2 x 10-6",,0.607,1.03645,'-,[1.02-1.05],"VCAM1, EXTL2",Schizophrenia,schizophrenia,'-,GCST90128471,1:100813954
rs13154281-<b>C</b>,"2 x 10-6",,0.5,1.03593,'-,[1.02-1.05],C5orf63,Schizophrenia,schizophrenia,'-,GCST90128471,5:127073496
rs1546995-<b>T</b>,"2 x 10-6",,0.336,1.03738,'-,[1.02-1.05],XRN2,Schizophrenia,schizophrenia,'-,GCST90128471,20:21340015
rs113779114-<b>T</b>,"2 x 10-6",,0.564,1.03593,'-,[1.02-1.05],DOP1B,Schizophrenia,schizophrenia,'-,GCST90128471,21:36285774
rs2955373-<b>C</b>,"2 x 10-6",,0.457,1.03925,'-,[1.02-1.05],"DRG2, GID4",Schizophrenia,schizophrenia,'-,GCST90128471,17:18070303
rs7115234-<b>C</b>,"2 x 10-6",,0.504,0.96493,'-,[0.95-0.98],KIRREL3,Schizophrenia,schizophrenia,'-,GCST90128471,11:126790268
rs2137777-<b>C</b>,"2 x 10-6",,0.477,0.96493,'-,[0.95-0.98],SERGEF,Schizophrenia,schizophrenia,'-,GCST90128471,11:17988174
rs73336641-<b>G</b>,"2 x 10-6",,0.81,1.04802,'-,[1.03-1.07],"TRHDE, TRHDE-AS1",Schizophrenia,schizophrenia,'-,GCST90128471,12:72259515
rs985059-<b>A</b>,"2 x 10-6",,0.41,0.96368,'-,[0.95-0.98],SLC8A1-AS1,Schizophrenia,schizophrenia,'-,GCST90128471,2:40057823
rs10964676-<b>G</b>,"3 x 10-6",,0.834,0.9539,'-,[0.93-0.97],FOCAD,Schizophrenia,schizophrenia,'-,GCST90128471,9:20723261
rs4755968-<b>G</b>,"3 x 10-6",,0.209,1.043,'-,[1.03-1.06],"LINC02696, SYT13",Schizophrenia,schizophrenia,'-,GCST90128471,11:45327747
rs10848645-<b>G</b>,"3 x 10-6",,0.461,1.03572,'-,[1.02-1.05],CACNA1C,Schizophrenia,schizophrenia,'-,GCST90128471,12:2311078
rs34656869-<b>C</b>,"3 x 10-6",,0.885,1.05707,'-,[1.03-1.08],CHMP1A,Schizophrenia,schizophrenia,'-,GCST90128471,16:89643108
rs10939931-<b>A</b>,"3 x 10-6",,0.699,1.03717,'-,[1.02-1.05],"RN7SKP157, KIF2A",Schizophrenia,schizophrenia,'-,GCST90128471,5:62181074
rs12396210-<b>C</b>,"3 x 10-6",,0.824,0.95801,'-,[0.94-0.98],MAP7D2,Schizophrenia,schizophrenia,'-,GCST90128471,X:20096013
rs225460-<b>T</b>,"3 x 10-6",,0.553,1.03066,'-,[1.02-1.04],IL1RAPL1,Schizophrenia,schizophrenia,'-,GCST90128471,X:29164196
rs41313730-<b>T</b>,"3 x 10-6",,0.857,1.04907,'-,[1.03-1.07],SPATA17,Schizophrenia,schizophrenia,'-,GCST90128471,1:217871403
rs62408211-<b>A</b>,"3 x 10-6",,0.696,1.04071,'-,[1.02-1.06],BACH2,Schizophrenia,schizophrenia,'-,GCST90128471,6:90193089
rs1449608-<b>C</b>,"3 x 10-6",,0.435,0.96609,'-,[0.95-0.98],"LINC02271, ADGRL3",Schizophrenia,schizophrenia,'-,GCST90128471,4:61169743
rs7149373-<b>G</b>,"3 x 10-6",,0.115,1.0558,'-,[1.03-1.08],NRXN3,Schizophrenia,schizophrenia,'-,GCST90128471,14:78239199
rs7544528-<b>C</b>,"3 x 10-6",,0.515,0.96425,'-,[0.95-0.98],"PMVK, KCNN3",Schizophrenia,schizophrenia,'-,GCST90128471,1:154872109
rs11652374-<b>T</b>,"3 x 10-6",,0.972,1.12288,'-,[1.07-1.17],"TBX21, OSBPL7",Schizophrenia,schizophrenia,'-,GCST90128471,17:47807055
rs55878406-<b>A</b>,"3 x 10-6",,0.753,0.95983,'-,[0.94-0.98],EXOC4,Schizophrenia,schizophrenia,'-,GCST90128471,7:134063556
rs11072940-<b>C</b>,"3 x 10-6",,0.863,0.95323,'-,[0.93-0.97],ABHD17C,Schizophrenia,schizophrenia,'-,GCST90128471,15:80755488
rs6500945-<b>T</b>,"3 x 10-6",,0.297,1.038,'-,[1.02-1.05],RBFOX1,Schizophrenia,schizophrenia,'-,GCST90128471,16:7306302
rs7622757-<b>C</b>,"3 x 10-6",,0.89,0.94696,'-,[0.92-0.97],"MIR138-1, TOPAZ1",Schizophrenia,schizophrenia,'-,GCST90128471,3:44194836
rs76202145-<b>T</b>,"4 x 10-6",,0.924,0.92997,'-,[0.9-0.96],AKT3,Schizophrenia,schizophrenia,'-,GCST90128471,1:243516490
rs2371340-<b>A</b>,"4 x 10-6",,0.759,0.96021,'-,[0.94-0.98],RBMS3,Schizophrenia,schizophrenia,'-,GCST90128471,3:28697188
rs1995838-<b>C</b>,"4 x 10-6",,0.525,1.03531,'-,[1.02-1.05],LUZP2,Schizophrenia,schizophrenia,'-,GCST90128471,11:24511388
rs34071118-<b>T</b>,"4 x 10-6",,0.922,1.06876,'-,[1.04-1.1],"BUB1B-PAK6, PAK6",Schizophrenia,schizophrenia,'-,GCST90128471,15:40258459
rs111885000-<b>G</b>,"4 x 10-6",,0.732,1.03946,'-,[1.02-1.06],"SEC16B, LINC01741",Schizophrenia,schizophrenia,'-,GCST90128471,1:177776949
rs11913069-<b>G</b>,"4 x 10-6",,0.734,1.04352,'-,[1.03-1.06],MIRLET7BHG,Schizophrenia,schizophrenia,'-,GCST90128471,22:46079998
rs62275670-<b>T</b>,"4 x 10-6",,0.729,0.963,'-,[0.95-0.98],"LINC02024, IGSF11",Schizophrenia,schizophrenia,'-,GCST90128471,3:118830475
chr6:114189489-<b>G</b>,"4 x 10-6",,0.876,0.94866,'-,[0.93-0.97],'-,Schizophrenia,schizophrenia,'-,GCST90128471,"Mapping not available"
rs560566057-<b>C</b>,"6 x 10-6",,0.987,0.80372,'-,[0.71-0.9],STMN3,Schizophrenia,schizophrenia,'-,GCST90128471,20:63642776
rs12501838-<b>A</b>,"6 x 10-6",,0.8,1.04237,'-,[1.02-1.06],"RPL22P13, GSX2",Schizophrenia,schizophrenia,'-,GCST90128471,4:54106723
rs2870931-<b>G</b>,"6 x 10-6",,0.254,1.04154,'-,[1.02-1.06],"GGTA2P, RAB11AP2",Schizophrenia,schizophrenia,'-,GCST90128471,12:67196728
rs1396901-<b>T</b>,"6 x 10-6",,0.133,0.95209,'-,[0.93-0.97],"MIPEPP2, CHRM3",Schizophrenia,schizophrenia,'-,GCST90128471,1:239052474
rs62339375-<b>A</b>,"6 x 10-6",,0.833,0.95514,'-,[0.94-0.98],"RNA5SP173, RNU1-45P",Schizophrenia,schizophrenia,'-,GCST90128471,4:178189169
rs62141928-<b>T</b>,"6 x 10-6",,0.766,1.04206,'-,[1.02-1.06],"LINC01122, LINC01795",Schizophrenia,schizophrenia,'-,GCST90128471,2:58388652
rs7819248-<b>T</b>,"6 x 10-6",,0.118,1.05348,'-,[1.03-1.08],LONRF1,Schizophrenia,schizophrenia,'-,GCST90128471,8:12744462
rs1984128-<b>C</b>,"6 x 10-6",,0.235,0.96464,'-,[0.95-0.98],"KPNB1P1, RPL6P29",Schizophrenia,schizophrenia,'-,GCST90128471,X:98206315
rs117336852-<b>A</b>,"6 x 10-6",,0.967,0.89987,'-,[0.85-0.95],"NPTXR, CBX6",Schizophrenia,schizophrenia,'-,GCST90128471,22:38856268
rs6467361-<b>C</b>,"6 x 10-6",,0.872,1.05686,'-,[1.03-1.08],MKLN1,Schizophrenia,schizophrenia,'-,GCST90128471,7:131194899
rs76683343-<b>C</b>,"6 x 10-6",,0.981,0.85044,'-,[0.78-0.92],ITGA9,Schizophrenia,schizophrenia,'-,GCST90128471,3:37667990
rs2236270-<b>G</b>,"6 x 10-6",,0.679,0.96522,'-,[0.95-0.98],GSS,Schizophrenia,schizophrenia,'-,GCST90128471,20:34935352
rs79434132-<b>A</b>,"7 x 10-6",,0.968,0.89933,'-,[0.85-0.95],"CHCHD2P9, LNCARSR",Schizophrenia,schizophrenia,'-,GCST90128471,9:79399476
rs2054208-<b>G</b>,"7 x 10-6",,0.361,1.03645,'-,[1.02-1.05],"TOMM22P4, MIR4454",Schizophrenia,schizophrenia,'-,GCST90128471,4:162883437
rs199497-<b>T</b>,"7 x 10-6",,0.866,1.05559,'-,[1.03-1.08],WNT3,Schizophrenia,schizophrenia,'-,GCST90128471,17:46789236
rs4952876-<b>T</b>,"7 x 10-6",,0.722,0.96348,'-,[0.95-0.98],EPCAM-DT,Schizophrenia,schizophrenia,'-,GCST90128471,2:47208583
rs57266620-<b>G</b>,"7 x 10-6",,0.936,1.0693,'-,[1.04-1.1],"GHRHR, ADCYAP1R1",Schizophrenia,schizophrenia,'-,GCST90128471,7:31045353
rs62191775-<b>T</b>,"7 x 10-6",,0.968,0.89003,'-,[0.84-0.94],NGEF,Schizophrenia,schizophrenia,'-,GCST90128471,2:232880312
rs72827369-<b>T</b>,"7 x 10-6",,0.786,0.95925,'-,[0.94-0.98],"LINC01947, TENM2",Schizophrenia,schizophrenia,'-,GCST90128471,5:167244178
rs10823790-<b>G</b>,"7 x 10-6",,0.618,0.96657,'-,[0.95-0.98],CDH23,Schizophrenia,schizophrenia,'-,GCST90128471,10:71578496
rs333238-<b>A</b>,"7 x 10-6",,0.262,0.96089,'-,[0.94-0.98],SLC5A7,Schizophrenia,schizophrenia,'-,GCST90128471,2:107987172
rs10949662-<b>C</b>,"7 x 10-6",,0.709,0.96406,'-,[0.95-0.98],PTPRN2,Schizophrenia,schizophrenia,'-,GCST90128471,7:157741413
rs12357428-<b>G</b>,"7 x 10-6",,0.898,0.94592,'-,[0.92-0.97],"LINC00707, LINC02665",Schizophrenia,schizophrenia,'-,GCST90128471,10:6938424
rs113209368-<b>C</b>,"7 x 10-6",,0.932,0.93239,'-,[0.9-0.96],KCNH3,Schizophrenia,schizophrenia,'-,GCST90128471,12:49556468
rs10973441-<b>T</b>,"7 x 10-6",,0.841,1.04854,'-,[1.03-1.07],"RAB1C, TOMM5",Schizophrenia,schizophrenia,'-,GCST90128471,9:37622780
rs2325791-<b>C</b>,"1 x 10-7",,0.587,1.04123,'-,[1.03-1.06],"NKAIN2, RNF217-AS1",Schizophrenia,schizophrenia,'-,GCST90128471,6:124755018
rs34751112-<b>A</b>,"1 x 10-7",,0.963,1.12479,'-,[1.08-1.17],CCDC68,Schizophrenia,schizophrenia,'-,GCST90128471,18:54919314
rs2055891-<b>A</b>,"1 x 10-7",,0.777,1.05253,'-,[1.03-1.07],HOMER2,Schizophrenia,schizophrenia,'-,GCST90128471,15:82854411
rs117799466-<b>G</b>,"1 x 10-7",,0.686,0.95705,'-,[0.94-0.97],"ACTG1P15, LPCAT4",Schizophrenia,schizophrenia,'-,GCST90128471,15:34367316
rs2184193-<b>A</b>,"1 x 10-7",,0.178,0.94772,'-,[0.93-0.97],EVI5,Schizophrenia,schizophrenia,'-,GCST90128471,1:92535586
chr14:59973329-<b>T</b>,"1 x 10-7",,0.939,1.09516,'-,[1.06-1.13],'-,Schizophrenia,schizophrenia,'-,GCST90128471,"Mapping not available"
rs9418691-<b>C</b>,"1 x 10-7",,0.826,0.94971,'-,[0.93-0.97],DOCK1,Schizophrenia,schizophrenia,'-,GCST90128471,10:127012405
rs2973038-<b>C</b>,"1 x 10-7",,0.282,1.04394,'-,[1.03-1.06],"GDNF, GDNF-AS1",Schizophrenia,schizophrenia,'-,GCST90128471,5:37833679
rs11738207-<b>T</b>,"1 x 10-7",,0.878,0.93688,'-,[0.91-0.96],"Y_RNA, CDH12",Schizophrenia,schizophrenia,'-,GCST90128471,5:22984975
rs35909029-<b>T</b>,"1 x 10-7",,0.425,0.95954,'-,[0.94-0.97],LINC02210-CRHR1,Schizophrenia,schizophrenia,'-,GCST90128471,17:45774132
rs10017181-<b>T</b>,"1 x 10-7",,0.786,0.95466,'-,[0.94-0.97],"LINC02438, LCORL",Schizophrenia,schizophrenia,'-,GCST90128471,4:19146362
rs10510660-<b>G</b>,"1 x 10-7",,0.425,1.04091,'-,[1.03-1.06],LINC01811,Schizophrenia,schizophrenia,'-,GCST90128471,3:34647809
rs800524-<b>T</b>,"1 x 10-7",,0.251,1.04592,'-,[1.03-1.06],"LINC00536, TRPS1",Schizophrenia,schizophrenia,'-,GCST90128471,8:115835299
rs1957988-<b>T</b>,"2 x 10-7",,0.36,1.0405,'-,[1.03-1.06],RTN1,Schizophrenia,schizophrenia,'-,GCST90128471,14:59693061
rs6537239-<b>G</b>,"2 x 10-7",,0.656,1.04467,'-,[1.03-1.06],GYPB,Schizophrenia,schizophrenia,'-,GCST90128471,4:144001396
rs4758662-<b>G</b>,"2 x 10-7",,0.225,0.95523,'-,[0.94-0.97],"CLIP1, ZCCHC8",Schizophrenia,schizophrenia,'-,GCST90128471,12:122440231
rs6499508-<b>A</b>,"2 x 10-7",,0.879,1.06131,'-,[1.04-1.08],CALB2,Schizophrenia,schizophrenia,'-,GCST90128471,16:71362387
rs2916148-<b>G</b>,"2 x 10-7",,0.592,0.96117,'-,[0.95-0.98],PITPNC1,Schizophrenia,schizophrenia,'-,GCST90128471,17:67485993
rs627450-<b>G</b>,"2 x 10-7",,0.233,0.95342,'-,[0.94-0.97],"MEF2C, MEF2C-AS2",Schizophrenia,schizophrenia,'-,GCST90128471,5:88764494
rs2088178-<b>A</b>,"9 x 10-7",,0.404,0.96339,'-,[0.95-0.98],ROBO2,Schizophrenia,schizophrenia,'-,GCST90128471,3:76214085
rs62520448-<b>G</b>,"9 x 10-7",,0.968,0.89324,'-,[0.85-0.94],"LINC02237, RNU4-37P",Schizophrenia,schizophrenia,'-,GCST90128471,8:111912294
rs13145415-<b>G</b>,"9 x 10-7",,0.873,1.05548,'-,[1.03-1.08],PCDH7,Schizophrenia,schizophrenia,'-,GCST90128471,4:30821535
rs61869026-<b>C</b>,"9 x 10-7",,0.81,1.05096,'-,[1.03-1.07],BRSK2,Schizophrenia,schizophrenia,'-,GCST90128471,11:1437864
rs2174016-<b>T</b>,"9 x 10-7",,0.522,1.04112,'-,[1.03-1.06],"LINC01990, BBX",Schizophrenia,schizophrenia,'-,GCST90128471,3:107516767
rs12160628-<b>C</b>,"9 x 10-7",,0.852,1.05085,'-,[1.03-1.07],"SLC25A17, MCHR1",Schizophrenia,schizophrenia,'-,GCST90128471,22:40721437
rs917478-<b>T</b>,"1 x 10-6",,0.639,1.038,'-,[1.02-1.05],ARVCF,Schizophrenia,schizophrenia,'-,GCST90128471,22:19985301
rs1130247-<b>A</b>,"1 x 10-6",,0.793,1.04498,'-,[1.03-1.06],FAM83D,Schizophrenia,schizophrenia,'-,GCST90128471,20:38952794
rs4942851-<b>C</b>,"1 x 10-6",,0.47,1.03738,'-,[1.02-1.05],"ARL11, RCBTB1",Schizophrenia,schizophrenia,'-,GCST90128471,13:49594829
rs78497538-<b>G</b>,"1 x 10-6",,0.962,0.89817,'-,[0.85-0.94],"LINC00051, MIR4472-1",Schizophrenia,schizophrenia,'-,GCST90128471,8:142189851
rs12457025-<b>C</b>,"1 x 10-6",,0.644,0.96387,'-,[0.95-0.98],"CBLN2, LINC01899",Schizophrenia,schizophrenia,'-,GCST90128471,18:72058828
rs11650101-<b>C</b>,"1 x 10-6",,0.659,0.96252,'-,[0.95-0.98],MMD,Schizophrenia,schizophrenia,'-,GCST90128471,17:55402186
rs547353-<b>C</b>,"1 x 10-6",,0.221,0.95753,'-,[0.94-0.97],"TNR, LINC01657",Schizophrenia,schizophrenia,'-,GCST90128471,1:175819182
rs17143361-<b>C</b>,"1 x 10-6",,0.926,0.92914,'-,[0.9-0.96],RBFOX1,Schizophrenia,schizophrenia,'-,GCST90128471,16:7305257
rs7204687-<b>T</b>,"1 x 10-6",,0.535,1.03697,'-,[1.02-1.05],RBFOX1,Schizophrenia,schizophrenia,'-,GCST90128471,16:5765231
rs11717297-<b>T</b>,"1 x 10-6",,0.822,1.0497,'-,[1.03-1.07],FOXP1,Schizophrenia,schizophrenia,'-,GCST90128471,3:71199242
rs6802276-<b>C</b>,"1 x 10-6",,0.0896,1.06481,'-,[1.04-1.09],"EPHB1, NDUFS6P1",Schizophrenia,schizophrenia,'-,GCST90128471,3:135755030
rs59904933-<b>A</b>,"1 x 10-6",,0.709,0.96214,'-,[0.95-0.98],"LINC02438, LCORL",Schizophrenia,schizophrenia,'-,GCST90128471,4:18886257
rs72810512-<b>C</b>,"1 x 10-6",,0.932,0.92626,'-,[0.9-0.96],"MRPL33, RBKS",Schizophrenia,schizophrenia,'-,GCST90128471,2:27801531
rs150477527-<b>A</b>,"1 x 10-6",,0.972,0.84409,'-,[0.78-0.91],PARD6G,Schizophrenia,schizophrenia,'-,GCST90128471,18:80194328
rs17750149-<b>G</b>,"1 x 10-6",,0.787,0.95753,'-,[0.94-0.97],"RNA5SP231, MTND4P3",Schizophrenia,schizophrenia,'-,GCST90128471,7:68566337
rs842766-<b>C</b>,"1 x 10-6",,0.391,0.9631,'-,[0.95-0.98],"RN7SL361P, IFITM3P9",Schizophrenia,schizophrenia,'-,GCST90128471,2:60643864
rs1163943-<b>T</b>,"1 x 10-6",,0.323,0.96204,'-,[0.95-0.98],"LINC02378, TIMM17BP1",Schizophrenia,schizophrenia,'-,GCST90128471,12:17438530
rs13407231-<b>C</b>,"1 x 10-6",,0.649,1.0379,'-,[1.02-1.05],CTNNA2,Schizophrenia,schizophrenia,'-,GCST90128471,2:79206501
rs10257749-<b>C</b>,"1 x 10-6",,0.832,1.05138,'-,[1.03-1.07],"NUDCD3, CAMK2B",Schizophrenia,schizophrenia,'-,GCST90128471,7:44349020
rs5016164-<b>T</b>,"1 x 10-6",,0.947,0.91998,'-,[0.89-0.95],MMP16,Schizophrenia,schizophrenia,'-,GCST90128471,8:88255953
rs6930897-<b>G</b>,"1 x 10-6",,0.715,0.96223,'-,[0.95-0.98],ARHGAP18,Schizophrenia,schizophrenia,'-,GCST90128471,6:129640693
rs2072736-<b>T</b>,"1 x 10-6",,0.881,0.94035,'-,[0.92-0.97],ATXN1,Schizophrenia,schizophrenia,'-,GCST90128471,6:16327837
rs62283308-<b>C</b>,"1 x 10-6",,0.905,1.06759,'-,[1.04-1.09],LINC00578,Schizophrenia,schizophrenia,'-,GCST90128471,3:177669001
rs4272913-<b>G</b>,"1 x 10-6",,0.795,1.04373,'-,[1.03-1.06],"SRSF1P1, KLHL1",Schizophrenia,schizophrenia,'-,GCST90128471,13:69478107
rs7191353-<b>C</b>,"1 x 10-6",,0.78,0.95829,'-,[0.94-0.98],"RN7SKP190, CDH13",Schizophrenia,schizophrenia,'-,GCST90128471,16:82567398
rs143092720-<b>G</b>,"3 x 10-6",,0.98,1.17105,'-,[1.1-1.24],"DLC1, SGCZ",Schizophrenia,schizophrenia,'-,GCST90128471,8:13766797
rs17591036-<b>A</b>,"3 x 10-6",,0.924,1.07778,'-,[1.05-1.11],C2orf69,Schizophrenia,schizophrenia,'-,GCST90128471,2:199927381
rs2271050-<b>C</b>,"3 x 10-6",,0.191,1.04655,'-,[1.03-1.07],HIP1R,Schizophrenia,schizophrenia,'-,GCST90128471,12:122850980
rs4734176-<b>A</b>,"3 x 10-6",,0.712,0.9631,'-,[0.95-0.98],EMC2,Schizophrenia,schizophrenia,'-,GCST90128471,8:108447103
rs139748544-<b>A</b>,"3 x 10-6",,0.966,0.89288,'-,[0.85-0.94],"SH3RF1, NEK1",Schizophrenia,schizophrenia,'-,GCST90128471,4:169318905
rs79028395-<b>G</b>,"3 x 10-6",,0.974,1.13202,'-,[1.08-1.18],"KRTCAP2P1, SIX3",Schizophrenia,schizophrenia,'-,GCST90128471,2:44962131
rs12567744-<b>A</b>,"3 x 10-6",,0.731,0.96185,'-,[0.95-0.98],"MIR4421, CDKN2C",Schizophrenia,schizophrenia,'-,GCST90128471,1:50986891
