"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs72926772-<b>T</b>,"5 x 10-18",,0.1,1.13,'-,[1.11-1.15],"CARF, WDR12","Coronary artery disease","coronary artery disease",'-,GCST010479,2:202939566
rs1250229-<b>T</b>,"2 x 10-14",,0.26,1.07,'-,[1.05-1.10],"LINC00607, FN1","Coronary artery disease","coronary artery disease",'-,GCST010479,2:215439661
rs4458205-<b>T</b>,"4 x 10-8",,0.35,1.05,'-,[1.03-1.07],"EFHD1, GIGYF2","Coronary artery disease","coronary artery disease",'-,GCST010479,2:232692936
rs293914-<b>G</b>,"4 x 10-8",,0.13,1.07,'-,[1.06-1.08],FGD5,"Coronary artery disease","coronary artery disease",'-,GCST010479,3:14905626
rs11713141-<b>C</b>,"1 x 10-9",,0.38,1.05,'-,[1.02-1.08],MRAS,"Coronary artery disease","coronary artery disease",'-,GCST010479,3:138348784
rs12645070-<b>A</b>,"3 x 10-8",,0.23,1.05,'-,[1.02-1.08],"REST, SPINK2","Coronary artery disease","coronary artery disease",'-,GCST010479,4:56903940
rs11099097-<b>T</b>,"4 x 10-9",,0.29,1.05,'-,[1.04-1.06],"PRDM8, FGF5","Coronary artery disease","coronary artery disease",'-,GCST010479,4:80246155
rs11099493-<b>A</b>,"4 x 10-8",,0.7,1.05,'-,[1.02-1.08],RASGEF1B,"Coronary artery disease","coronary artery disease",'-,GCST010479,4:81665896
rs1847331-<b>G</b>,"2 x 10-8",,0.27,1.05,'-,[1.02-1.08],"MAD2L1, LINC02502","Coronary artery disease","coronary artery disease",'-,GCST010479,4:120015426
rs73855810-<b>A</b>,"2 x 10-12",,0.17,1.07,'-,[1.06-1.09],"PRMT5P1, EDNRA","Coronary artery disease","coronary artery disease",'-,GCST010479,4:147462272
rs34914832-<b>G</b>,"3 x 10-11",,0.79,1.07,'-,[1.05-1.08],GUCY1A1,"Coronary artery disease","coronary artery disease",'-,GCST010479,4:155704926
rs9381634-<b>A</b>,"3 x 10-8",,0.3,1.05,'-,[1.04-1.06],PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST010479,6:13022496
rs6456496-<b>C</b>,"5 x 10-9",,0.33,1.05,'-,[1.04-1.06],CASC15,"Coronary artery disease","coronary artery disease",'-,GCST010479,6:22599157
rs3130342-<b>C</b>,"3 x 10-9",,0.83,1.08,'-,[1.06-1.09],TNXB,"Coronary artery disease","coronary artery disease",'-,GCST010479,6:32112369
rs55902013-<b>C</b>,"4 x 10-10",,0.8,1.06,'-,[1.03-1.09],"KCNK5, SAYSD1","Coronary artery disease","coronary artery disease",'-,GCST010479,6:39182881
rs12193307-<b>A</b>,"2 x 10-10",,0.66,1.05,'-,[1.04-1.07],TARID,"Coronary artery disease","coronary artery disease",'-,GCST010479,6:133782112
rs56393506-<b>T</b>,"5 x 10-34",,0.16,1.15,'-,[1.13-1.17],"LPA, PLG","Coronary artery disease","coronary artery disease",'-,GCST010479,6:160668275
rs2107595-<b>A</b>,"1 x 10-14",,0.2,1.07,'-,[1.06-1.08],"HDAC9, TWIST1","Coronary artery disease","coronary artery disease",'-,GCST010479,7:19009765
rs2107713-<b>T</b>,"5 x 10-8",,0.3,1.05,'-,[1.03-1.06],"DUS4L-BCAP29, BCAP29","Coronary artery disease","coronary artery disease",'-,GCST010479,7:107591924
rs11556924-<b>C</b>,"5 x 10-14",,0.7,1.07,'-,[1.03-1.11],ZC3HC1,"Coronary artery disease","coronary artery disease",'-,GCST010479,7:130023656
rs2269997-<b>G</b>,"1 x 10-8",,0.74,1.05,'-,[1.05-1.05],"TBXAS1, PARP12","Coronary artery disease","coronary artery disease",'-,GCST010479,7:140023600
rs328-<b>C</b>,"3 x 10-8",,0.9,1.07,'-,[1.03-1.12],LPL,"Coronary artery disease","coronary artery disease",'-,GCST010479,8:19962213
rs2954026-<b>T</b>,"5 x 10-10",,0.32,1.05,'-,[1.04-1.07],"TRIB1, LINC00861","Coronary artery disease","coronary artery disease",'-,GCST010479,8:125472284
rs10811650-<b>G</b>,"2 x 10-71",,0.44,1.15,'-,[1.13-1.17],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST010479,9:22067594
rs10985343-<b>C</b>,"4 x 10-8",,0.31,1.05,'-,[1.02-1.07],DAB2IP,"Coronary artery disease","coronary artery disease",'-,GCST010479,9:121653412
rs643434-<b>A</b>,"4 x 10-9",,0.38,1.05,'-,[1.01-1.08],ABO,"Coronary artery disease","coronary artery disease",'-,GCST010479,9:133266942
rs10826753-<b>C</b>,"2 x 10-8",,0.57,1.04,'-,[1.02-1.07],JCAD,"Coronary artery disease","coronary artery disease",'-,GCST010479,10:30037847
rs518594-<b>T</b>,"1 x 10-12",,0.81,1.07,'-,[1.06-1.09],LINC02881,"Coronary artery disease","coronary artery disease",'-,GCST010479,10:44261659
rs2250644-<b>T</b>,"3 x 10-16",,0.35,1.07,'-,[1.05-1.09],LIPA,"Coronary artery disease","coronary artery disease",'-,GCST010479,10:89249122
rs7910601-<b>G</b>,"9 x 10-10",,0.8,1.06,'-,[1.03-1.09],WBP1L,"Coronary artery disease","coronary artery disease",'-,GCST010479,10:102823638
rs2257129-<b>C</b>,"4 x 10-8",,0.9,1.08,'-,[1.05-1.12],"LINC01153, RPL19P16","Coronary artery disease","coronary artery disease",'-,GCST010479,10:121139183
rs360153-<b>C</b>,"3 x 10-8",,0.55,1.04,'-,[1.02-1.07],SWAP70,"Coronary artery disease","coronary artery disease",'-,GCST010479,11:9740727
rs4757137-<b>G</b>,"3 x 10-8",,0.69,1.05,'-,[1.03-1.06],ARNTL,"Coronary artery disease","coronary artery disease",'-,GCST010479,11:13270280
rs12801636-<b>G</b>,"2 x 10-8",,0.73,1.05,'-,[1.03-1.07],PCNX3,"Coronary artery disease","coronary artery disease",'-,GCST010479,11:65623846
rs11226018-<b>T</b>,"2 x 10-8",,0.49,1.04,'-,[1.00-1.09],MIR4693,"Coronary artery disease","coronary artery disease",'-,GCST010479,11:103793773
rs10488763-<b>T</b>,"9 x 10-10",,0.18,1.06,'-,[1.02-1.11],LINC02732,"Coronary artery disease","coronary artery disease",'-,GCST010479,11:110373636
rs662799-<b>G</b>,"6 x 10-9",,0.14,1.07,'-,[1.05-1.09],"APOA4, APOA5","Coronary artery disease","coronary artery disease",'-,GCST010479,11:116792991
rs10841443-<b>G</b>,"1 x 10-8",,0.65,1.05,'-,[1.04-1.06],LINC02398,"Coronary artery disease","coronary artery disease",'-,GCST010479,12:20067099
rs75160195-<b>T</b>,"2 x 10-9",,0.07,1.1,'-,[1.07-1.13],"SMUG1, LINC02381","Coronary artery disease","coronary artery disease",'-,GCST010479,12:54127810
rs117742247-<b>T</b>,"3 x 10-8",,0.18,1.06,'-,[1.02-1.09],ATP2B1,"Coronary artery disease","coronary artery disease",'-,GCST010479,12:89597536
rs7311541-<b>C</b>,"2 x 10-8",,0.9,1.07,'-,[1.02-1.13],NDUFA12,"Coronary artery disease","coronary artery disease",'-,GCST010479,12:94980484
rs1558803-<b>A</b>,"1 x 10-10",,0.02,1.19,'-,[1.11-1.27],UBE3B,"Coronary artery disease","coronary artery disease",'-,GCST010479,12:109528393
rs3858704-<b>A</b>,"3 x 10-13",,0.66,1.06,'-,[0.96-1.17],CUX2,"Coronary artery disease","coronary artery disease",'-,GCST010479,12:111268089
rs7139170-<b>A</b>,"7 x 10-9",,0.67,1.06,'-,[1.01-1.11],RPH3A,"Coronary artery disease","coronary artery disease",'-,GCST010479,12:112825713
rs2244608-<b>G</b>,"2 x 10-8",,0.35,1.05,'-,[1.02-1.07],"HNF1A-AS1, HNF1A","Coronary artery disease","coronary artery disease",'-,GCST010479,12:120979185
rs9513116-<b>A</b>,"3 x 10-9",,0.33,1.05,'-,[1.03-1.07],FLT1,"Coronary artery disease","coronary artery disease",'-,GCST010479,13:28442578
rs55940034-<b>G</b>,"4 x 10-10",,0.26,1.06,'-,[1.04-1.07],COL4A2,"Coronary artery disease","coronary artery disease",'-,GCST010479,13:110390962
rs2098297-<b>G</b>,"4 x 10-8",,0.51,1.04,'-,[1.02-1.07],TMED10,"Coronary artery disease","coronary artery disease",'-,GCST010479,14:75152415
rs12436072-<b>A</b>,"5 x 10-8",,0.39,1.04,'-,[1.03-1.06],HHIPL1,"Coronary artery disease","coronary artery disease",'-,GCST010479,14:99668969
rs56062135-<b>C</b>,"5 x 10-13",,0.81,1.08,'-,[1.05-1.11],SMAD3,"Coronary artery disease","coronary artery disease",'-,GCST010479,15:67163292
rs62010554-<b>G</b>,"3 x 10-12",,0.25,1.06,'-,[1.04-1.08],CHRNB4,"Coronary artery disease","coronary artery disease",'-,GCST010479,15:78710490
rs734780-<b>T</b>,"4 x 10-10",,0.83,1.07,'-,[1.04-1.10],"CARMAL, KRT18P47","Coronary artery disease","coronary artery disease",'-,GCST010479,15:89021727
rs4932371-<b>C</b>,"2 x 10-11",,0.32,1.06,'-,[1.03-1.09],"FURIN, RN7SL363P","Coronary artery disease","coronary artery disease",'-,GCST010479,15:90861558
rs2000999-<b>A</b>,"5 x 10-10",,0.23,1.06,'-,[1.05-1.08],"HPR, TXNL4B","Coronary artery disease","coronary artery disease",'-,GCST010479,16:72074194
rs8057203-<b>C</b>,"4 x 10-8",,0.58,1.04,'-,[1.03-1.06],CFDP1,"Coronary artery disease","coronary artery disease",'-,GCST010479,16:75371076
rs2641438-<b>G</b>,"3 x 10-9",,0.3,1.05,'-,[1.03-1.07],SMG6,"Coronary artery disease","coronary artery disease",'-,GCST010479,17:2114492
rs7214227-<b>T</b>,"5 x 10-11",,0.16,1.07,'-,[1.04-1.11],BCAS3,"Coronary artery disease","coronary artery disease",'-,GCST010479,17:60913664
rs2812-<b>C</b>,"1 x 10-8",,0.54,1.05,'-,[1.03-1.07],PECAM1,"Coronary artery disease","coronary artery disease",'-,GCST010479,17:64323758
rs3786723-<b>T</b>,"2 x 10-9",,0.73,1.05,'-,[1.05-1.06],SMARCA4,"Coronary artery disease","coronary artery disease",'-,GCST010479,19:11055800
rs2241714-<b>T</b>,"4 x 10-11",,0.35,1.05,'-,[1.02-1.09],"TMEM91, B9D2","Coronary artery disease","coronary artery disease",'-,GCST010479,19:41363487
rs56131196-<b>A</b>,"2 x 10-14",,0.16,1.09,'-,[1.07-1.11],"APOC1, APOC1P1","Coronary artery disease","coronary artery disease",'-,GCST010479,19:44919589
rs7279974-<b>C</b>,"1 x 10-10",,0.26,1.06,'-,[1.04-1.09],KCNE2,"Coronary artery disease","coronary artery disease",'-,GCST010479,21:34294661
rs6004124-<b>G</b>,"3 x 10-9",,0.95,1.1,'-,[1.08-1.12],"SPECC1L, SPECC1L-ADORA2A","Coronary artery disease","coronary artery disease",'-,GCST010479,22:24301789
rs67180937-<b>G</b>,"3 x 10-10",,0.54,1.13,'-,[1.09-1.17],MIA3,"Coronary artery disease","coronary artery disease",'-,GCST010480,1:222650401
rs12469758-<b>A</b>,"1 x 10-10",,0.06,1.28,'-,[1.19-1.38],NUTF2P8,"Coronary artery disease","coronary artery disease",'-,GCST010480,2:21310235
rs2876301-<b>T</b>,"2 x 10-8",,0.81,1.15,'-,[1.09-1.21],PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST010480,6:12907179
rs2327429-<b>T</b>,"1 x 10-12",,0.48,1.14,'-,[1.10-1.18],TARID,"Coronary artery disease","coronary artery disease",'-,GCST010480,6:133888699
rs10757274-<b>G</b>,"6 x 10-27",,0.48,1.22,'-,[1.18-1.27],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST010480,9:22096056
rs10985348-<b>C</b>,"7 x 10-11",,0.24,1.16,'-,[1.11-1.21],DAB2IP,"Coronary artery disease","coronary artery disease",'-,GCST010480,9:121657443
rs9411378-<b>A</b>,"2 x 10-10",,0.26,1.15,'-,[1.10-1.20],ABO,"Coronary artery disease","coronary artery disease",'-,GCST010480,9:133270015
rs11191559-<b>C</b>,"2 x 10-8",,0.73,1.13,'-,[1.08-1.18],NT5C2,"Coronary artery disease","coronary artery disease",'-,GCST010480,10:103107929
rs11226017-<b>C</b>,"3 x 10-9",,0.63,1.13,'-,[1.08-1.17],MIR4693,"Coronary artery disease","coronary artery disease",'-,GCST010480,11:103793681
rs1848599-<b>C</b>,"4 x 10-8",,0.78,1.14,'-,[1.09-1.19],"FDX1, ARHGAP20","Coronary artery disease","coronary artery disease",'-,GCST010480,11:110487741
rs933899-<b>A</b>,"2 x 10-9",,0.77,1.15,'-,[1.10-1.20],NR2C1,"Coronary artery disease","coronary artery disease",'-,GCST010480,12:95052512
rs79105258-<b>A</b>,"7 x 10-32",,0.26,1.31,'-,[1.25-1.37],CUX2,"Coronary artery disease","coronary artery disease",'-,GCST010480,12:111280427
rs4773140-<b>G</b>,"3 x 10-9",,0.7,1.14,'-,[1.09-1.19],COL4A1,"Coronary artery disease","coronary artery disease",'-,GCST010480,13:110301890
rs28455815-<b>T</b>,"1 x 10-8",,0.54,1.12,'-,[1.08-1.16],MORF4L1,"Coronary artery disease","coronary artery disease",'-,GCST010480,15:78822111
rs4533264-<b>T</b>,"5 x 10-8",,0.2,1.14,'-,[1.09-1.19],FES,"Coronary artery disease","coronary artery disease",'-,GCST010480,15:90888294
rs2738464-<b>C</b>,"1 x 10-9",,0.68,1.13,'-,[1.08-1.17],"LDLR, SPC24","Coronary artery disease","coronary artery disease",'-,GCST010480,19:11131631
rs4803458-<b>A</b>,"7 x 10-9",,0.53,1.12,'-,[1.08-1.16],"TMEM91, B9D2","Coronary artery disease","coronary artery disease",'-,GCST010480,19:41359388
rs769446-<b>T</b>,"2 x 10-9",,0.95,1.34,'-,[1.22-1.47],"TOMM40, APOE","Coronary artery disease","coronary artery disease",'-,GCST010480,19:44905371
rs6458545-<b>C</b>,"1 x 10-8",(conditional),0.42,1.13,'-,[1.08-1.17],PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST010480,6:12934070
rs7857345-<b>C</b>,"1 x 10-21",,0.66,1.22,'-,[1.17-1.26],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST010480,9:22087474
rs507666-<b>A</b>,"7 x 10-10",,0.42,1.14,'-,[1.09-1.19],ABO,"Coronary artery disease","coronary artery disease",'-,GCST010480,9:133273983
rs4766566-<b>C</b>,"2 x 10-25",,0.33,1.24,'-,[1.19-1.29],CUX2,"Coronary artery disease","coronary artery disease",'-,GCST010480,12:111269073
rs1982072-<b>T</b>,"9 x 10-9",,0.41,1.11,'-,[1.07-1.16],"TMEM91, B9D2","Coronary artery disease","coronary artery disease",'-,GCST010480,19:41358604
rs11206510-<b>T</b>,"1 x 10-8",,0.85,1.07,'-,[1.04-1.10],"PCSK9, BSND","Coronary artery disease","coronary artery disease",'-,GCST010479,1:55030366
rs56348932-<b>A</b>,"2 x 10-12",,0.92,1.11,'-,[1.08-1.13],PLPP3,"Coronary artery disease","coronary artery disease",'-,GCST010479,1:56522879
rs12526453-<b>C</b>,"4 x 10-7",,0.67,0.92,'-,[0.89-0.96],PHACTR1,"Coronary artery disease in individuals without type 2 diabetes","coronary artery disease",'-,GCST011489,6:12927312
rs1333049-<b>C</b>,"5 x 10-18",,0.46,0.89,'-,[0.86-0.92],CDKN2B-AS1,"Coronary artery disease in individuals without type 2 diabetes","coronary artery disease",'-,GCST011489,9:22125504
rs1412444-<b>T</b>,"7 x 10-6",,0.42,1.08,'-,[1.05-1.12],LIPA,"Coronary artery disease","coronary artery disease",'-,GCST011488,10:89243170
rs3825807-<b>A</b>,"2 x 10-6",,0.57,1.08,'-,[1.05-1.11],ADAMTS7,"Coronary artery disease","coronary artery disease",'-,GCST011488,15:78796769
rs1122608-<b>G</b>,"5 x 10-7",,0.77,1.09,'-,[1.06-1.13],SMARCA4,"Coronary artery disease","coronary artery disease",'-,GCST011488,19:11052925
rs599839-<b>A</b>,"2 x 10-7",,0.78,1.1,'-,[1.07-1.14],"CELSR2, PSRC1","Coronary artery disease","coronary artery disease",'-,GCST011488,1:109279544
rs6725887-<b>C</b>,"6 x 10-8",,0.15,1.15,'-,[1.09-1.20],WDR12,"Coronary artery disease","coronary artery disease",'-,GCST011488,2:202881162
rs12526453-<b>C</b>,"6 x 10-9",,0.67,1.1,'-,[1.07-1.14],PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST011488,6:12927312
rs1333049-<b>C</b>,"3 x 10-22",,0.46,1.17,'-,[1.14-1.20],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST011488,9:22125504
rs1746048-<b>C</b>,"1 x 10-6",,0.87,1.11,'-,[1.07-1.15],LINC02881,"Coronary artery disease","coronary artery disease",'-,GCST011488,10:44280376
rs4977574-<b>A</b>,"4 x 10-6",,0.5,'-,"0.22 unit increase",[0.12-0.32],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90140952,9:22098575
rs4650716-<b>A</b>,"1 x 10-8",,NR,1.02,'-,'-,KIAA0040,"Coronary artery disease","coronary artery disease",'-,GCST90132302,1:175159575
rs2715879-<b>A</b>,"6 x 10-9",,NR,1.03,'-,'-,ASAP2,"Coronary artery disease","coronary artery disease",'-,GCST90132302,2:9375422
rs6759676-<b>T</b>,"2 x 10-8",,NR,0.98,'-,'-,"IL1F10, RNU6-1180P","Coronary artery disease","coronary artery disease",'-,GCST90132302,2:113078771
rs73070813-<b>A</b>,"2 x 10-8",,NR,1.06,'-,'-,RPL39L,"Coronary artery disease","coronary artery disease",'-,GCST90132302,3:187168807
rs7719168-<b>A</b>,"4 x 10-9",,NR,0.96,'-,'-,ARL15,"Coronary artery disease","coronary artery disease",'-,GCST90132302,5:53996560
rs79968656-<b>A</b>,"5 x 10-8",,NR,0.96,'-,'-,SLC27A6,"Coronary artery disease","coronary artery disease",'-,GCST90132302,5:128662484
rs29266-<b>A</b>,"1 x 10-9",,NR,0.95,'-,'-,GABBR1,"Coronary artery disease","coronary artery disease",'-,GCST90132302,6:29607502
rs11152953-<b>T</b>,"9 x 10-10",,NR,0.97,'-,'-,UFL1-AS1,"Coronary artery disease","coronary artery disease",'-,GCST90132302,6:96446429
rs2073533-<b>T</b>,"4 x 10-8",,NR,0.97,'-,'-,ETV1,"Coronary artery disease","coronary artery disease",'-,GCST90132302,7:13990114
rs35146811-<b>A</b>,"2 x 10-8",,NR,0.97,'-,'-,CNPY4,"Coronary artery disease","coronary artery disease",'-,GCST90132302,7:100123371
rs6557894-<b>T</b>,"1 x 10-8",,NR,1.03,'-,'-,"PPP2R2A, RNA5SP258","Coronary artery disease","coronary artery disease",'-,GCST90132302,8:26229397
rs504564-<b>A</b>,"2 x 10-8",,NR,1.03,'-,'-,"LINC00583, LINC01235","Coronary artery disease","coronary artery disease",'-,GCST90132302,9:13711561
rs1223583-<b>A</b>,"4 x 10-8",,NR,1.02,'-,'-,PLCE1,"Coronary artery disease","coronary artery disease",'-,GCST90132302,10:93996743
rs1867073-<b>A</b>,"1 x 10-9",,NR,0.97,'-,'-,"R3HCC1L, CRTAC1","Coronary artery disease","coronary artery disease",'-,GCST90132302,10:98033255
rs7117780-<b>A</b>,"7 x 10-10",,NR,1.03,'-,'-,"CWF19L2, ASS1P13","Coronary artery disease","coronary artery disease",'-,GCST90132302,11:107215397
rs57812455-<b>A</b>,"4 x 10-8",,NR,0.97,'-,'-,"UBASH3B, GLULP3","Coronary artery disease","coronary artery disease",'-,GCST90132302,11:122654259
rs11220480-<b>A</b>,"4 x 10-8",,NR,1.03,'-,'-,ST3GAL4,"Coronary artery disease","coronary artery disease",'-,GCST90132302,11:126407675
rs1859440-<b>T</b>,"1 x 10-9",,NR,0.97,'-,'-,"SENP1, COL2A1","Coronary artery disease","coronary artery disease",'-,GCST90132302,12:48033546
rs3959554-<b>A</b>,"7 x 10-9",,NR,0.97,'-,'-,"INO80, CIBAR1P1","Coronary artery disease","coronary artery disease",'-,GCST90132302,15:41151726
rs7177107-<b>A</b>,"6 x 10-9",,NR,1.03,'-,'-,AKAP13,"Coronary artery disease","coronary artery disease",'-,GCST90132302,15:85580133
rs9930506-<b>A</b>,"4 x 10-11",,NR,0.97,'-,'-,FTO,"Coronary artery disease","coronary artery disease",'-,GCST90132302,16:53796553
rs9302604-<b>A</b>,"1 x 10-11",,NR,0.97,'-,'-,"CYB5B, NFAT5","Coronary artery disease","coronary artery disease",'-,GCST90132302,16:69542991
rs1077715-<b>A</b>,"4 x 10-8",,NR,1.03,'-,'-,CDK12,"Coronary artery disease","coronary artery disease",'-,GCST90132302,17:39527295
rs1623003-<b>T</b>,"2 x 10-8",,NR,0.97,'-,'-,NPC1,"Coronary artery disease","coronary artery disease",'-,GCST90132302,18:23585199
rs77420750-<b>A</b>,"7 x 10-9",,NR,1.03,'-,'-,"CYP4F36P, CLEC4OP","Coronary artery disease","coronary artery disease",'-,GCST90132302,19:15868934
rs7246865-<b>A</b>,"4 x 10-8",,NR,1.03,'-,'-,MYO9B,"Coronary artery disease","coronary artery disease",'-,GCST90132302,19:17108295
rs4809766-<b>T</b>,"5 x 10-8",,NR,1.03,'-,'-,RNF114,"Coronary artery disease","coronary artery disease",'-,GCST90132302,20:49942802
rs4819811-<b>A</b>,"6 x 10-9",,NR,1.03,'-,'-,"LINC00895, SEPTIN5","Coronary artery disease","coronary artery disease",'-,GCST90132302,22:19621733
rs5934659-<b>T</b>,"6 x 10-9",,NR,0.96,'-,'-,TBL1X,"Coronary artery disease","coronary artery disease",'-,GCST90132302,X:9610064
rs2066280-<b>A</b>,"5 x 10-8",,NR,1.03,'-,'-,"RNU6-493P, VDAC1P1","Coronary artery disease","coronary artery disease",'-,GCST90132302,X:80922131
rs7884019-<b>C</b>,"4 x 10-15",,NR,0.97,'-,'-,"TDGF1P3, M6PRP1","Coronary artery disease","coronary artery disease",'-,GCST90132302,X:110566261
rs5929743-<b>G</b>,"5 x 10-9",,NR,0.97,'-,'-,MAP7D3,"Coronary artery disease","coronary artery disease",'-,GCST90132302,X:136236818
rs5975828-<b>C</b>,"9 x 10-9",,NR,0.96,'-,'-,"RPL22P23, RBMX","Coronary artery disease","coronary artery disease",'-,GCST90132302,X:136904390
rs4387942-<b>?</b>,"8 x 10-6",,NR,'-,"0.096 unit increase",[0.054-0.138],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151484399
rs6810156-<b>?</b>,"5 x 10-6",,NR,'-,"0.0977 unit increase",[0.056-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151484841
rs9855531-<b>?</b>,"2 x 10-6",,NR,'-,"0.0976 unit increase",[0.057-0.138],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151485248
rs9837970-<b>?</b>,"3 x 10-6",,NR,'-,"0.0976 unit increase",[0.057-0.138],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151485319
rs113003953-<b>?</b>,"5 x 10-7",,NR,'-,"0.1241 unit increase",[0.076-0.173],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151485972
rs148763984-<b>?</b>,"1 x 10-6",,NR,'-,"0.1169 unit increase",[0.07-0.164],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151487005
rs7615828-<b>?</b>,"3 x 10-6",,NR,'-,"0.1009 unit increase",[0.059-0.143],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151487174
rs7638109-<b>?</b>,"6 x 10-6",,NR,'-,"0.0976 unit increase",[0.055-0.14],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151487188
rs148940565-<b>?</b>,"1 x 10-5",,NR,'-,"0.0925 unit decrease",[0.052-0.133],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151487653
rs4467429-<b>?</b>,"7 x 10-6",,NR,'-,"0.0971 unit decrease",[0.055-0.139],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151488287
rs4256103-<b>?</b>,"9 x 10-6",,NR,'-,"0.0926 unit increase",[0.052-0.134],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151488498
rs6775810-<b>?</b>,"6 x 10-6",,NR,'-,"0.0972 unit increase",[0.055-0.139],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151489214
rs6767984-<b>?</b>,"1 x 10-5",,NR,'-,"0.0923 unit increase",[0.051-0.133],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151490256
rs4423742-<b>?</b>,"1 x 10-5",,NR,'-,"0.0923 unit increase",[0.051-0.133],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151491125
rs6783097-<b>?</b>,"3 x 10-6",,NR,'-,"0.1026 unit increase",[0.059-0.146],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151491568
rs6783098-<b>?</b>,"3 x 10-6",,NR,'-,"0.1026 unit increase",[0.059-0.146],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151491569
rs6785746-<b>?</b>,"6 x 10-6",,NR,'-,"0.0973 unit increase",[0.055-0.139],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151491733
rs34892019-<b>?</b>,"5 x 10-7",,NR,'-,"0.1237 unit increase",[0.075-0.172],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151491998
rs56180525-<b>?</b>,"5 x 10-6",,NR,'-,"0.111 unit increase",[0.064-0.158],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151492746
rs4618202-<b>?</b>,"5 x 10-6",,NR,'-,"0.0977 unit increase",[0.056-0.14],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151493542
rs9882955-<b>?</b>,"7 x 10-7",,NR,'-,"0.1011 unit decrease",[0.061-0.141],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151493997
rs9811627-<b>?</b>,"7 x 10-7",,NR,'-,"0.1011 unit decrease",[0.061-0.141],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151494271
rs12485986-<b>?</b>,"7 x 10-7",,NR,'-,"0.1009 unit decrease",[0.061-0.141],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151494993
rs10935854-<b>?</b>,"2 x 10-6",,NR,'-,"0.1012 unit increase",[0.059-0.143],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151495399
rs4541381-<b>?</b>,"7 x 10-7",,NR,'-,"0.1009 unit increase",[0.061-0.141],"MIR5186, MRPL42P6","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151495847
rs4256102-<b>?</b>,"7 x 10-7",,NR,'-,"0.1012 unit increase",[0.061-0.141],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151495906
rs4414825-<b>?</b>,"7 x 10-7",,NR,'-,"0.1012 unit increase",[0.061-0.141],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151495938
rs4596123-<b>?</b>,"7 x 10-7",,NR,'-,"0.101 unit increase",[0.061-0.141],"MRPL42P6, MIR5186","Coronary artery disease","coronary artery disease",'-,GCST90132303,3:151495959
